raw,norm,group,국적
FESTO AG & CO. KG,FESTO & CO KG,FESTO & CO KG,DE
"Fetch Robotics, Inc.",FETCH ROBOTICS,FETCH ROBOTICS,US
"FETCH ROBOTICS, INC.",FETCH ROBOTICS,FETCH ROBOTICS,US
"Fetch Robotius, Inc.",FETCH ROBOTIUS,FETCH ROBOTIUS,US
FFT Produktionssysteme GMBH & Co. KG,FFT PRODUKTIONSSYSTEME & CO KG,FFT PRODUKTIONSSYSTEME & CO KG,DE
FFT PRODUKTIONSSYSTEME GMBH & CO. KG,FFT PRODUKTIONSSYSTEME & CO KG,FFT PRODUKTIONSSYSTEME & CO KG,DE
FIGURE AI INC.,FIGURE AI,FIGURE AI,US
FILL GESELLSCHAFT M.B.H.,FILL GESELLSCHAFT MBH,FILL GESELLSCHAFT MBH,AT
"FINEWELL CO., LTD.",FINEWELL,FINEWELL,JP
FIPA HOLDING GMBH,FIPA,FIPA,DE
Fitech Sp. z o.o.,FITECH SP Z OO,FITECH SP Z OO,PL
Flexiv Ltd.,FLEXIV,FLEXIV,KY
FLEXIV LTD.,FLEXIV,FLEXIV,KY
"FLIR DETECTION, INC.",FLIR DETECTION,FLIR DETECTION,US
FLORIDA ATLANTIC UNIVERSITY BOARD OF TRUSTEES,FLORIDA ATLANTIC UNIVERSITY BOARD OF TRUSTEES,FLORIDA ATLANTIC UNIVERSITY BOARD OF TRUSTEES,US
FLOW ROBOTICS A/S,FLOW ROBOTICS A/S,FLOW ROBOTICS A/S,DK
"FLX Solutions, Inc.",FLX SOLUTIONS,FLX SOLUTIONS,US
FMR LLC,FMR,FMR,US
FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,IT
"FORD GLOBAL TECHNOLOGIES, LLC",FORD GLOBAL TECHNOLOGIES,FORD GLOBAL TECHNOLOGIES,US
"Ford Global Technologies, LLC",FORD GLOBAL TECHNOLOGIES,FORD GLOBAL TECHNOLOGIES,US
"FORTNA SYSTEMS, INC.",FORTNA SYSTEMS,FORTNA SYSTEMS,US
"Foster-Miller, Inc.",FOSTER-MILLER,FOSTER-MILLER,US
"Francis Joseph Osebold, III",FRANCIS JOSEPH OSEBOLD III,FRANCIS JOSEPH OSEBOLD III,US
FRANKA EMIKA GMBH,FRANKA EMIKA,FRANKA,DE
Frédéric Vachon,FRÉDÉRIC VACHON,FRÉDÉRIC VACHON,CA
FTS WELDING,FTS WELDING,FTS WELDING,FR
"Fu Tai Hua Industry (Shenzhen) Co., Ltd.",FU TAI HUA INDUSTRY (SHENZHEN),FU TAI HUA INDUSTRY (SHENZHEN),CN
FUJI CORPORATION,FUJI,FUJI,JP
"FUJI XEROX CO., LTD.",FUJI XEROX,FUJI XEROX,JP
FUJIFILM BUSINESS INNOVATION CORP.,FUJIFILM BUSINESS INNOVATION,FUJIFILM BUSINESS INNOVATION,JP
"Futaijing Precision Electronics (Yantai) Co., Ltd.",FUTAIJING PRECISION ELECTRONICS (YANTAI),FUTAIJING PRECISION ELECTRONICS (YANTAI),CN
FUTRONICS (NA) CORPORATION,FUTRONICS (NA),FUTRONICS (NA),US
G-TEKT CORPORATION,G-TEKT,G-TEKT,JP
GAIOTTO AUTOMATION S.P.A.,GAIOTTO AUTOMATION,GAIOTTO AUTOMATION,IT
Gary Lee Drew,GARY LEE DREW,GARY LEE DREW,US
GDM HOLDING LLC,GDM,GDM,US
"GECKO ROBOTICS, INC.",GECKO ROBOTICS,GECKO ROBOTICS,US
"GED INTEGRATED SOLUTIONS, INC.",GED INTEGRATED SOLUTIONS,GED INTEGRATED SOLUTIONS,US
General Cybernation Group Inc.,GENERAL CYBERNATION GROUP,GENERAL CYBERNATION GROUP,US
GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC,GENERAL ELECTRIC,US
General Electric Company,GENERAL ELECTRIC,GENERAL ELECTRIC,US
GENIE INDUSTRIES BV,GENIE INDUSTRIES,GENIE INDUSTRIES,NL
George K. Ghanem,GEORGE K GHANEM,GEORGE K GHANEM,US
GEORGIA TECH RESEARCH CORPORATION,GEORGIA TECH RESEARCH,GEORGIA TECH RESEARCH,US
GHOST ROBOTICS CORPORATION,GHOST ROBOTICS,GHOST ROBOTICS,US
"GIANT (ASSIGNMENT FOR THE BENEFIT OF CREDITORS), LLC",GIANT (ASSIGNMENT FOR THE BENEFIT OF CREDITORS),GIANT (ASSIGNMENT FOR THE BENEFIT OF CREDITORS),US
GIMATIC S.R.L.,GIMATIC,GIMATIC,IT
GIMATIC S.r.l.,GIMATIC,GIMATIC,IT
GIMATIC S.P.A.,GIMATIC,GIMATIC,IT
GM GLOBAL TECHNOLOGY OPERATIONS LLC,GM GLOBAL TECHNOLOGY OPERATIONS,GM,US
GM Global Technology Operations LLC,GM GLOBAL TECHNOLOGY OPERATIONS,GM,US
"GM GLOBAL TECHNOLOGY OPERATIONS, LLC",GM GLOBAL TECHNOLOGY OPERATIONS,GM,US
GOERTEK INC.,GOERTEK,GOERTEK,CN
"GOERTEK TECHNOLOGY CO., LTD.",GOERTEK TECHNOLOGY,GOERTEK TECHNOLOGY,CN
GOOGLE LLC,GOOGLE,ALPHABET,US
Google Inc.,GOOGLE,ALPHABET,US
Google LLC,GOOGLE,ALPHABET,US
"GRABIT, INC.",GRABIT,GRABIT,US
Grain Weevil Corporation,GRAIN WEEVIL,GRAIN WEEVIL,US
GRAYMATTER ROBOTICS INC.,GRAYMATTER ROBOTICS,GRAYMATTER ROBOTICS,US
"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",GREE ELECTRIC APPLIANCES OF ZHUHAI,GREE ELECTRIC APPLIANCES OF ZHUHAI,CN
Grey Orange Incorporated,GREY ORANGE,GREY ORANGE,US
GRIDIRON ROBOTICS LLC,GRIDIRON ROBOTICS,GRIDIRON ROBOTICS,US
"GROOVE X, INC.",GROOVE X,GROOVE X,JP
"GRUPO BIMBO, S.A.B. DE C.V.",GRUPO BIMBO SAB DE CV,GRUPO BIMBO SAB DE CV,MX
GUANGDONG O-MATIC INTELLIGENT ROBOT LIMITED,GUANGDONG O-MATIC INTELLIGENT ROBOT,GUANGDONG O-MATIC INTELLIGENT ROBOT,CN
GUANGDONG UNIVERSITY OF TECHNOLOGY,GUANGDONG UNIVERSITY OF TECHNOLOGY,GUANGDONG UNIVERSITY OF TECHNOLOGY,CN
GUANGZHOU COLLEGE OF TECHNOLOGY AND BUSINESS,GUANGZHOU COLLEGE OF TECHNOLOGY AND BUSINESS,GUANGZHOU COLLEGE OF TECHNOLOGY AND BUSINESS,CN
HADDADIN BETEILIGUNGS UG,HADDADIN BETEILIGUNGS UG,HADDADIN BETEILIGUNGS UG,DE
"HAI ROBOTICS CO., LTD.",HAI ROBOTICS,HAI ROBOTICS,CN
Hamilton Sundstrand Corporation,HAMILTON SUNDSTRAND,HAMILTON SUNDSTRAND,US
"HAN, FANYUAN",HAN FANYUAN,HAN FANYUAN,CN
"Hand Held Products, Inc.",HAND HELD PRODUCTS,HAND HELD PRODUCTS,US
"HANDHABUNGS-, AUTOMATISIERUNGS- UND PRAEZISIONSTECHNIK GMBH",HANDHABUNGS- AUTOMATISIERUNGS- UND PRAEZISIONSTECHNIK,HANDHABUNGS- AUTOMATISIERUNGS- UND PRAEZISIONSTECHNIK,DE
"HANGZHOU KAIERDA WELDING ROBOT CO., LTD.",HANGZHOU KAIERDA WELDING ROBOT,HANGZHOU KAIERDA WELDING ROBOT,CN
"HANGZHOU QISU TECHNOLOGY CO., LTD.",HANGZHOU QISU TECHNOLOGY,HANGZHOU QISU TECHNOLOGY,CN
"HANGZHOU SHENHAO TECHNOLOGY CO., LTD.",HANGZHOU SHENHAO TECHNOLOGY,HANGZHOU SHENHAO TECHNOLOGY,CN
"HANGZHOU TARO POSITIONING TECHNOLOGY CO., LTD.",HANGZHOU TARO POSITIONING TECHNOLOGY,HANGZHOU TARO POSITIONING TECHNOLOGY,CN
"HANGZHOU YAMEILIJIA TECHNOLOGY CO., LTD.",HANGZHOU YAMEILIJIA TECHNOLOGY,HANGZHOU YAMEILIJIA TECHNOLOGY,CN
"HANGZHOU YUSHU TECHNOLOGY CO.,LTD.",HANGZHOU YUSHU TECHNOLOGY COLTD,HANGZHOU YUSHU TECHNOLOGY COLTD,CN
"HANKOOKROBOTICS CO., LTD.",HANKOOKROBOTICS,HANKOOKROBOTICS,KR
"HANUL SYSTEM CO., LTD.",HANUL SYSTEM,HANUL SYSTEM,KR
"HANWHA CO., LTD.",HANWHA,HANWHA,KR
"HANWHA LAND SYSTEMS CO., LTD.",HANWHA LAND SYSTEMS,HANWHA LAND SYSTEMS,KR
"HANWHA PRECISION MACHINERY CO., LTD.",HANWHA PRECISION MACHINERY,HANWHA PRECISION MACHINERY,KR
HANWHA ROBOTICS CORPORATION,HANWHA ROBOTICS,HANWHA ROBOTICS,KR
Haoxu Wang,HAOXU WANG,HAOXU WANG,CA
Harbin Institute of Technology,HARBIN INSTITUTE OF TECHNOLOGY,HARBIN INSTITUTE OF TECHNOLOGY,CN
HARBIN INSTITUTE OF TECHNOLOGY,HARBIN INSTITUTE OF TECHNOLOGY,HARBIN INSTITUTE OF TECHNOLOGY,CN
"Harbin Institute of Technology, Shenzhen",HARBIN INSTITUTE OF TECHNOLOGY SHENZHEN,HARBIN INSTITUTE OF TECHNOLOGY SHENZHEN,CN
"Harmonic Bionics, Inc.",HARMONIC BIONICS,HARMONIC BIONICS,US
Harris Corporation,HARRIS,HARRIS,US
Hehua Ju,HEHUA JU,HEHUA JU,CN
Heinz Hemken,HEINZ HEMKEN,HEINZ HEMKEN,US
Hello Robot,HELLO ROBOT,HELLO ROBOT,US
"HEXAGON METROLOGY, INC.",HEXAGON METROLOGY,HEXAGON METROLOGY,US
"HIGHRES BIOSOLUTIONS, INC",HIGHRES BIOSOLUTIONS,HIGHRES BIOSOLUTIONS,US
"HIGHRES BIOSOLUTIONS, INC.",HIGHRES BIOSOLUTIONS,HIGHRES BIOSOLUTIONS,US
HILTI AKTIENGESELLSCHAFT,HILTI,HILTI,LI
HIRATA CORPORATION,HIRATA,HIRATA,JP
"HITACHI, LTD.",HITACHI,HITACHI,JP
"Hitachi, Ltd.",HITACHI,HITACHI,JP
HITACHI LTD.,HITACHI,HITACHI,JP
HITACHI HIGH-TECH CORPORATION,HITACHI HIGH-TECH,HITACHI HIGH-TECH,JP
"HITACHI TRANSPORT SYSTEM, LTD.",HITACHI TRANSPORT SYSTEM,HITACHI TRANSPORT SYSTEM,JP
HIWIN TECHNOLOGIES CORP.,HIWIN TECHNOLOGIES,HIWIN TECHNOLOGIES,TW
Hiwin Technologies Corp.,HIWIN TECHNOLOGIES,HIWIN TECHNOLOGIES,TW
"HL ROBOTICS CO., LTD.",HL ROBOTICS,HL ROBOTICS,KR
"HONDA MOTOR CO., LTD.",HONDA MOTOR,HONDA,JP
"HONDA MOTOR CO., LTD",HONDA MOTOR,HONDA,JP
"Honda Motor Co., Ltd.",HONDA MOTOR,HONDA,JP
HONDA RESEARCH INSTITUTE EUROPE GMBH,HONDA RESEARCH INSTITUTE EUROPE,HONDA,DE
Honda Research Institute Europe GmbH,HONDA RESEARCH INSTITUTE EUROPE,HONDA,DE
HONG KONG CENTRE FOR LOGISTICS ROBOTICS LIMITED,HONG KONG CENTRE FOR LOGISTICS ROBOTICS,HONG KONG CENTRE FOR LOGISTICS ROBOTICS,CN
House of Design LLC,HOUSE OF DESIGN,HOUSE OF DESIGN,US
"HRL Laboratories, LLC",HRL LABORATORIES,HRL LABORATORIES,US
"HUAWEI TECHNOLOGIES CO., LTD.",HUAWEI TECHNOLOGIES,HUAWEI TECHNOLOGIES,CN
Huazhong University of Science and Technology,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,CN
"HURCO COMPANIES, INC.",HURCO COMPANIES,HURCO COMPANIES,US
"HYPERTHERM, INC.",HYPERTHERM,HYPERTHERM,US
"Hyundai Mobis Co., Ltd.",HYUNDAI MOBIS,HYUNDAI MOTOR GROUP,KR
"HYUNDAI MOBIS CO., LTD.",HYUNDAI MOBIS,HYUNDAI MOTOR GROUP,KR
Hyundai Motor Company,HYUNDAI MOTOR,HYUNDAI MOTOR GROUP,KR
HYUNDAI MOTOR COMPANY,HYUNDAI MOTOR,HYUNDAI MOTOR GROUP,KR
"I-PRO CO., LTD.",I-PRO,I-PRO,JP
Igor Morozov,IGOR MOROZOV,IGOR MOROZOV,UA
IHI CORPORATION,IHI,IHI,JP
"IIDA GROUP HOLDINGS CO., LTD.",IIDA GROUP,IIDA GROUP,JP
IKUTUKI,IKUTUKI,IKUTUKI,US
Illinois Tool Works Inc.,ILLINOIS TOOL WORKS,ILLINOIS TOOL WORKS,US
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,TW
Industrial Technology Research Institute,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,TW
INDUSTRIE-PARTNER GMBH RADEBEUL-COSWIG,INDUSTRIE-PARTNER RADEBEUL-COSWIG,INDUSTRIE-PARTNER RADEBEUL-COSWIG,DE
INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS,INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS,INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS,KR
Infineon Technologies Austria AG,INFINEON TECHNOLOGIES AUSTRIA,INFINEON TECHNOLOGIES AUSTRIA,AT
INSTITUT DE RECHERCHE TECHNOLOGIQUE JULES VERNE,INSTITUT DE RECHERCHE TECHNOLOGIQUE JULES VERNE,INSTITUT DE RECHERCHE TECHNOLOGIQUE JULES VERNE,FR
INSTITUTE FOR INFORMATION INDUSTRY,INSTITUTE FOR INFORMATION INDUSTRY,INSTITUTE FOR INFORMATION INDUSTRY,TW
"INSTITUTE OF COMPUTING TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",INSTITUTE OF COMPUTING TECHNOLOGY CHINESE ACADEMY OF SCIENCES,INSTITUTE OF COMPUTING TECHNOLOGY CHINESE ACADEMY OF SCIENCES,CN
"Institute of Nuclear Energy Research, Atomic Energy Council, Executive Yuan",INSTITUTE OF NUCLEAR ENERGY RESEARCH ATOMIC ENERGY COUNCIL EXECUTIVE YUAN,INSTITUTE OF NUCLEAR ENERGY RESEARCH ATOMIC ENERGY COUNCIL EXECUTIVE YUAN,TW
Intel Corporation,INTEL,INTEL,US
INTEL CORPORATION,INTEL,INTEL,US
"INTELLIGRATED HEADQUARTERS, LLC",INTELLIGRATED HEADQUARTERS,INTELLIGRATED HEADQUARTERS,US
"Intelligrated Headquarters, LLC",INTELLIGRATED HEADQUARTERS,INTELLIGRATED HEADQUARTERS,US
INTERMAN CORPORATION,INTERMAN,INTERMAN,JP
International Business Machines Corporation,INTERNATIONAL BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES,US
INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES,US
International Electronic Machines Corp.,INTERNATIONAL ELECTRONIC MACHINES,INTERNATIONAL ELECTRONIC MACHINES,US
INTERSCIENCE,INTERSCIENCE,INTERSCIENCE,FR
"INTEVA PRODUCTS, LLC",INTEVA PRODUCTS,INTEVA PRODUCTS,US
"INTOUCH TECHNOLOGIES, INC.",INTOUCH TECHNOLOGIES,INTOUCH TECHNOLOGIES,US
"LLC, INTRINSIC I",INTRINSIC I,INTRINSIC I,US
INTRINSIC INNOVATION LLC,INTRINSIC INNOVATION,ALPHABET,US
"Intuition Robotics, Ltd",INTUITION ROBOTICS,INTUITION ROBOTICS,IL
"Intuitive Surgical Operations, Inc.",INTUITIVE SURGICAL OPERATIONS,INTUITIVE SURGICAL OPERATIONS,US
Inventec (Pudong) Technology Corporation,INVENTEC (PUDONG) TECHNOLOGY,INVENTEC (PUDONG) TECHNOLOGY,CN
INVENTIO AG,INVENTIO,INVENTIO,CH
"INVIA ROBOTICS, INC.",INVIA ROBOTICS,INVIA ROBOTICS,US
"inVia Robotics, Inc.",INVIA ROBOTICS,INVIA ROBOTICS,US
INVITE GMBH,INVITE,INVITE,DE
IPR—Intelligente Peripherien für Roboter Gmb,IPR—INTELLIGENTE PERIPHERIEN FÜR ROBOTER GMB,IPR—INTELLIGENTE PERIPHERIEN FÜR ROBOTER GMB,DE
iRobot Corporation,IROBOT,IROBOT,US
IROBOT CORPORATION,IROBOT,IROBOT,US
"IROBOT DEFENSE HOLDINGS, INC.",IROBOT DEFENSE,IROBOT DEFENSE,US
"ISHIDA CO., LTD.",ISHIDA,ISHIDA,JP
IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY),IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY),IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY),KR
IXOVA INC,IXOVA,IXOVA,US
J. Schmalz GmbH,J SCHMALZ,J SCHMALZ,DE
Jack Adiletta,JACK ADILETTA,JACK ADILETTA,US
"JAKA ROBOTICS CO., LTD.",JAKA ROBOTICS,JAKA ROBOTICS,CN
James P. Morgan,JAMES P MORGAN,JAMES P MORGAN,US
"James Walter Beard, III",JAMES WALTER BEARD III,JAMES WALTER BEARD III,US
"JANOME SEWING MACHINE CO., LTD.",JANOME SEWING MACHINE,JANOME SEWING MACHINE,JP
JANOME SEWING MACHINE CO. LTD.,JANOME SEWING MACHINE,JANOME SEWING MACHINE,JP
"JAPAN CASH MACHINE CO., LTD.",JAPAN CASH MACHINE,JAPAN CASH MACHINE,JP
JAPAN SCIENCE AND TECHNOLOGY AGENCY,JAPAN SCIENCE AND TECHNOLOGY AGENCY,JAPAN SCIENCE AND TECHNOLOGY AGENCY,JP
Jason Yan,JASON YAN,JASON YAN,TW
JCE BIOTECHNOLOGY,JCE BIOTECHNOLOGY,JCE BIOTECHNOLOGY,FR
"JINGDONG TECHNOLOGY INFORMATION TECHNOLOGY CO., LTD.",JINGDONG TECHNOLOGY INFORMATION TECHNOLOGY,JINGDONG TECHNOLOGY INFORMATION TECHNOLOGY,CN
John C. Nappo,JOHN C NAPPO,JOHN C NAPPO,US
JOHNAN CORPORATION,JOHNAN,JOHNAN,JP
Jose Ignacio Acitores Garcia,JOSE IGNACIO ACITORES GARCIA,JOSE IGNACIO ACITORES GARCIA,ES
Jose Luna,JOSE LUNA,JOSE LUNA,US
Joseph E Augenbraun,JOSEPH E AUGENBRAUN,JOSEPH E AUGENBRAUN,US
KABUSHIKI KAISYA LEBEN,KABUSHIKI KAISYA LEBEN,KABUSHIKI KAISYA LEBEN,JP
"KAIROS AUTONOMI, INC.",KAIROS AUTONOMI,KAIROS AUTONOMI,US
KAMOSEIKO KABUSHIKI KAISHA,KAMOSEIKO,KAMOSEIKO,JP
"KANAE KOGYO CO., LTD.",KANAE KOGYO,KANAE KOGYO,JP
KASTANIENBAUM GMBH,KASTANIENBAUM,FRANKA,DE
KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP
KEBA AG,KEBA,KEBA,AT
"Keenon Robotics Co., Ltd.",KEENON ROBOTICS,KEENON ROBOTICS,CN
Kenneth C. Miller,KENNETH C MILLER,KENNETH C MILLER,US
KEYENCE CORPORATION,KEYENCE,KEYENCE,JP
KEYWESTTECH LLC.,KEYWESTTECH,KEYWESTTECH,US
Khaled Elbehiery,KHALED ELBEHIERY,KHALED ELBEHIERY,US
Khalifa University of Science and Technology,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,AE
KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,AE
Khalifa University of Science and Technology and The Aerospace Holding Company LLC,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY AND THE AEROSPACE,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY AND THE AEROSPACE,AE
Kia Motors Corporation,KIA MOTORS,HYUNDAI MOTOR GROUP,KR
KIMIYA GMBH,KIMIYA,KIMIYA,DE
Kindred Systems Inc.,KINDRED SYSTEMS,KINDRED SYSTEMS,CA
KINDRED SYSTEMS INC.,KINDRED SYSTEMS,KINDRED SYSTEMS,US
KINDRED SYSTEMS II INC.,KINDRED SYSTEMS II,KINDRED SYSTEMS II,CA
Kinetic Pressure Control Ltd.,KINETIC PRESSURE CONTROL,KINETIC PRESSURE CONTROL,US
King Abdulaziz University,KING ABDULAZIZ UNIVERSITY,KING ABDULAZIZ UNIVERSITY,SA
KING SAUD UNIVERSITY,KING SAUD UNIVERSITY,KING SAUD UNIVERSITY,SA
KINOVA INC.,KINOVA,KINOVA,CA
Kitchen Robotics Ltd,KITCHEN ROBOTICS,KITCHEN ROBOTICS,IL
KITO CORPORATION,KITO,KITO,JP
KNOWLEDGE INITIATIVES LLC,KNOWLEDGE INITIATIVES,KNOWLEDGE INITIATIVES,US
KNR SYSTEMS INC.,KNR SYSTEMS,KNR SYSTEMS,KR
"KABUSHIKI KAISHA KOBE SEIKO SHO (KOBE STEEL, LTD.)",KOBE SEIKO SHO (KOBE STEEL ),KOBE SEIKO SHO (KOBE STEEL ),JP
"Kobe Steel, Ltd.",KOBE STEEL,KOBE STEEL,JP
"Konica Minolta, Inc.",KONICA MINOLTA,KONICA MINOLTA,JP
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
KOREA ATOMIC ENERGY RESEARCH INSTITUTE,KOREA ATOMIC ENERGY RESEARCH INSTITUTE,KOREA ATOMIC ENERGY RESEARCH INSTITUTE,KR
KOREA INSTITUTE OF INDUSTRIAL TECHNOLOGY,KOREA INSTITUTE OF INDUSTRIAL TECHNOLOGY,KOREA INSTITUTE OF INDUSTRIAL TECHNOLOGY,KR
KOREA INSTITUTE OF MACHINERY & MATERIALS,KOREA INSTITUTE OF MACHINERY & MATERIALS,KOREA INSTITUTE OF MACHINERY & MATERIALS,KR
KOREA INSTITUTE OF ROBOT & CONVERGENCE,KOREA INSTITUTE OF ROBOT & CONVERGENCE,KOREA INSTITUTE OF ROBOT & CONVERGENCE,KR
KOREA INSTITUTE OF ROBOT AND CONVERGENCE,KOREA INSTITUTE OF ROBOT AND CONVERGENCE,KOREA INSTITUTE OF ROBOT AND CONVERGENCE,KR
Korea Institute of Science and Technology,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION INDUSTRY-UNIVERSITY COOPERATION FOUNDATION,KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION INDUSTRY-UNIVERSITY COOPERATION FOUNDATION,KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION INDUSTRY-UNIVERSITY COOPERATION FOUNDATION,KR
KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,KR
KRONES AKTIENGESELLSCHAFT,KRONES,KRONES,DE
KRONES AG,KRONES,KRONES,DE
KUBO ROBOTICS APS,KUBO ROBOTICS,KUBO ROBOTICS,DK
KUKA AKTIENGESELLSCHAFT,KUKA,KUKA,DE
KUKA Deutschland GmbH,KUKA DEUTSCHLAND,KUKA,DE
KUKA DEUTSCHLAND GMBH,KUKA DEUTSCHLAND,KUKA,DE
KUKA HUNGÁRIA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG,KUKA HUNGÁRIA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG,KUKA,HU
KUKA LABORATORIES GMBH,KUKA LABORATORIES,KUKA,DE
KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE
KUKA SYSTEMS GMBH,KUKA SYSTEMS,KUKA,DE
Kun Cheng,KUN CHENG,KUN CHENG,US
KURASHIKI BOSEKI KABUSHIKI KAISHA,KURASHIKI BOSEKI,KURASHIKI BOSEKI,JP
KYOCERA CORPORATION,KYOCERA,KYOCERA,JP
"KYORAKU CO., LTD.",KYORAKU,KYORAKU,JP
"L3HARRIS TECHNOLOGIES, INC.",L3HARRIS TECHNOLOGIES,L3HARRIS TECHNOLOGIES,US
L5 AUTOMATION INC.,L5 AUTOMATION,L5 AUTOMATION,CA
"LAUREL PRECISION CO., LTD",LAUREL PRECISION,LAUREL PRECISION,JP
LG ELECTRONICS INC.,LG ELECTRONICS,LG,KR
LG Electronics Inc.,LG ELECTRONICS,LG,KR
LIEBHERR-VERZAHNTECHNIK GMBH,LIEBHERR-VERZAHNTECHNIK,LIEBHERR-VERZAHNTECHNIK,DE
Life Robotics Inc.,LIFE ROBOTICS,LIFE ROBOTICS,JP
"LINCOLN GLOBAL, INC.",LINCOLN GLOBAL,LINCOLN GLOBAL,US
"Little Caesar Enterprises, Inc.",LITTLE CAESAR ENTERPRISES,LITTLE CAESAR ENTERPRISES,US
LOCUS ROBOTICS CORP.,LOCUS ROBOTICS,LOCUS ROBOTICS,US
Lon Radin,LON RADIN,LON RADIN,US
"Lucomm Technologies, Inc.",LUCOMM TECHNOLOGIES,LUCOMM TECHNOLOGIES,US
Luis Guzman,LUIS GUZMAN,LUIS GUZMAN,US
M. Mohsen Saadat,M MOHSEN SAADAT,M MOHSEN SAADAT,DE
MABIS,MABIS,MABIS,FR
"MACDONALD, DETTWILER AND ASSOCIATES INC.",MACDONALD DETTWILER AND ASSOCIATES,MACDONALD DETTWILER AND ASSOCIATES,CA
"MacDonald, Dettwiler and Associates Inc.",MACDONALD DETTWILER AND ASSOCIATES,MACDONALD DETTWILER AND ASSOCIATES,CA
MAGAZINO GMBH,MAGAZINO,MAGAZINO,DE
"MAGIC LEAP, INC.",MAGIC LEAP,MAGIC LEAP,US
MAGNA INTERNATIONAL INC.,MAGNA INTERNATIONAL,MAGNA INTERNATIONAL,CA
MAGNA POWERTRAIN GMBH & CO KG,MAGNA POWERTRAIN & CO KG,MAGNA POWERTRAIN & CO KG,AT
MAGSWITCH AUTOMATION COMPANY,MAGSWITCH AUTOMATION,MAGSWITCH AUTOMATION,US
"Mantis Robotics, Inc.",MANTIS ROBOTICS,MANTIS ROBOTICS,US
Marcel Reese,MARCEL REESE,MARCEL REESE,DE
MAREL A/S,MAREL A/S,MAREL A/S,DK
"MARMON FOODSERVICE TECHNOLOGIES, INC.",MARMON FOODSERVICE TECHNOLOGIES,MARMON FOODSERVICE TECHNOLOGIES,US
Martin Zimmer,MARTIN ZIMMER,MARTIN ZIMMER,DE
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
